epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,696.021,1.80263,2.07066,3.11594,0.68304,0.75362,0.70177,0.22812,2.24965,1.471,3.47753,0.000551754,0.000551754,0.000551754
2,1362.91,1.55598,1.46944,2.79902,0.81853,0.86957,0.88948,0.51408,1.26102,1.4506,3.28911,0.00109646,0.00109646,0.00109646
3,2033.03,1.48479,1.39922,2.7617,0.73103,0.90601,0.83309,0.5028,1.21446,1.07382,3.5028,0.00163016,0.00163016,0.00163016
4,2702.33,1.39675,1.33956,2.73867,0.90694,0.89855,0.89701,0.6028,1.1767,0.85569,3.36098,0.00161749,0.00161749,0.00161749
5,3370.43,1.33535,1.28539,2.70488,0.87813,0.92754,0.95729,0.71152,0.96529,0.7999,3.34445,0.00160099,0.00160099,0.00160099
6,4036.76,1.27388,1.23095,2.6543,0.88104,0.97101,0.96197,0.70355,0.94621,0.73274,3.22513,0.00158448,0.00158448,0.00158448
7,4706.42,1.22364,1.17746,2.57121,0.94171,0.93656,0.95944,0.69055,0.94788,0.67614,3.13482,0.00156798,0.00156798,0.00156798
8,5374.52,1.20463,1.1432,2.60526,0.89047,0.94256,0.96881,0.74759,0.92507,0.72596,3.09688,0.00155148,0.00155148,0.00155148
9,6039.45,1.18642,1.134,2.58495,0.89325,0.97022,0.96897,0.73514,0.82693,0.69596,3.10991,0.00153497,0.00153497,0.00153497
10,6707.03,1.16016,1.10894,2.55588,0.97012,0.94096,0.97387,0.78534,0.76791,0.58672,2.97476,0.00151847,0.00151847,0.00151847
11,7373.41,1.12146,1.05441,2.51733,0.91526,0.93929,0.96676,0.75817,0.75461,0.63346,3.01944,0.00150197,0.00150197,0.00150197
12,8043.75,1.10651,1.05295,2.48798,0.91717,0.92754,0.94471,0.75051,0.76189,0.64446,2.89977,0.00148546,0.00148546,0.00148546
13,8712.87,1.08852,1.01578,2.47958,0.96794,0.91304,0.97531,0.77538,0.76961,0.59189,2.86634,0.00146896,0.00146896,0.00146896
14,9378.5,1.06088,0.9899,2.44133,0.87083,0.89855,0.93248,0.73872,0.83393,0.72423,2.97888,0.00145246,0.00145246,0.00145246
15,10046,1.08445,0.99971,2.44486,0.92028,0.94203,0.96486,0.79848,0.75508,0.62783,2.86092,0.00143595,0.00143595,0.00143595
16,10711.8,1.05126,0.97447,2.46002,0.971,0.97065,0.98652,0.80317,0.75477,0.52479,2.81794,0.00141945,0.00141945,0.00141945
17,11378,1.03234,0.97183,2.44017,0.95765,0.98315,0.98807,0.82974,0.71388,0.51654,2.85803,0.00140295,0.00140295,0.00140295
18,12043.1,1.02656,0.94536,2.42209,0.96919,0.91192,0.97112,0.81164,0.73868,0.59051,2.7576,0.00138644,0.00138644,0.00138644
19,12711.1,1.00075,0.95284,2.41312,0.94093,0.92354,0.97284,0.80481,0.71943,0.52982,2.6877,0.00136994,0.00136994,0.00136994
20,13376.7,1.02395,0.93301,2.4308,0.95583,0.98551,0.98547,0.82433,0.67086,0.52735,2.68299,0.00135344,0.00135344,0.00135344
21,14046.6,1.00992,0.92476,2.39619,0.9651,0.94203,0.97831,0.74662,0.91873,0.53478,2.6895,0.00133693,0.00133693,0.00133693
22,14711.7,1.00333,0.90906,2.38861,0.98528,0.97018,0.9799,0.81418,0.65997,0.51334,2.73956,0.00132043,0.00132043,0.00132043
23,15381,0.96141,0.88717,2.34686,0.98483,0.94113,0.97961,0.83409,0.60632,0.48227,2.63795,0.00130393,0.00130393,0.00130393
24,16048.4,0.97326,0.89412,2.34975,0.9847,0.93271,0.97879,0.83604,0.649,0.50817,2.65712,0.00128742,0.00128742,0.00128742
25,16714.9,0.96445,0.88235,2.3907,0.95632,0.95205,0.98559,0.843,0.64938,0.48625,2.71252,0.00127092,0.00127092,0.00127092
26,17382.7,0.94592,0.86575,2.33675,0.96053,0.94203,0.98145,0.82155,0.65382,0.51833,2.63938,0.00125442,0.00125442,0.00125442
27,18049.7,0.94059,0.84852,2.33896,0.94128,0.95652,0.97641,0.80088,0.69209,0.48743,2.68723,0.00123791,0.00123791,0.00123791
28,18716.1,0.93795,0.85749,2.34034,0.97042,0.95106,0.98271,0.83858,0.56969,0.48859,2.63439,0.00122141,0.00122141,0.00122141
29,19380.8,0.94313,0.86052,2.30579,0.97053,0.9547,0.97789,0.81406,0.71055,0.48573,2.68914,0.00120491,0.00120491,0.00120491
30,20046.4,0.92085,0.82767,2.31449,0.95707,0.96931,0.98565,0.83309,0.69822,0.53868,2.56369,0.0011884,0.0011884,0.0011884
31,20711.1,0.93062,0.84107,2.30943,0.99587,0.95652,0.97804,0.80998,0.66008,0.50512,2.69354,0.0011719,0.0011719,0.0011719
32,21378.6,0.8973,0.81724,2.30613,0.98483,0.94084,0.9797,0.8453,0.6368,0.50714,2.7048,0.0011554,0.0011554,0.0011554
33,22043.4,0.89569,0.81323,2.29785,0.98522,0.96588,0.98762,0.84671,0.62554,0.45898,2.59585,0.00113889,0.00113889,0.00113889
34,22708.2,0.89636,0.81466,2.29993,0.9939,0.94203,0.9786,0.84341,0.63115,0.4421,2.59747,0.00112239,0.00112239,0.00112239
35,23375,0.89381,0.80362,2.29352,0.98176,0.94203,0.98662,0.82804,0.64949,0.47106,2.58527,0.00110589,0.00110589,0.00110589
36,24038.5,0.89414,0.81248,2.26097,0.99939,0.97101,0.98877,0.8719,0.57905,0.43135,2.61831,0.00108938,0.00108938,0.00108938
37,24704.3,0.86084,0.77486,2.23908,0.98459,0.92584,0.95882,0.83358,0.63294,0.43979,2.65876,0.00107288,0.00107288,0.00107288
38,25369.6,0.86111,0.77055,2.2634,0.97096,0.96914,0.98038,0.85213,0.57818,0.43638,2.59786,0.00105638,0.00105638,0.00105638
39,26034,0.86348,0.78014,2.25991,0.9838,0.97101,0.98218,0.87804,0.53894,0.41291,2.62259,0.00103987,0.00103987,0.00103987
40,26701.1,0.86631,0.77698,2.25432,0.98194,0.97101,0.98823,0.83639,0.66386,0.43876,2.57861,0.00102337,0.00102337,0.00102337
41,27369.9,0.84538,0.76529,2.22452,1,0.95604,0.9876,0.88008,0.53864,0.41096,2.6156,0.00100687,0.00100687,0.00100687
42,28035.7,0.85332,0.75981,2.23493,0.9706,0.95675,0.98119,0.82696,0.70647,0.42659,2.59589,0.000990365,0.000990365,0.000990365
43,28700.3,0.8511,0.76765,2.23948,0.98504,0.95416,0.97937,0.87761,0.58408,0.41893,2.58015,0.000973861,0.000973861,0.000973861
44,29365.6,0.84782,0.75329,2.24343,0.98526,0.96861,0.98218,0.84731,0.61645,0.42603,2.5537,0.000957358,0.000957358,0.000957358
45,30032.5,0.83041,0.72852,2.23358,0.96441,0.92754,0.96776,0.86141,0.58682,0.40489,2.61297,0.000940855,0.000940855,0.000940855
46,30697.2,0.82792,0.73445,2.23885,0.98352,0.94203,0.98082,0.86764,0.58443,0.43319,2.57998,0.000924352,0.000924352,0.000924352
47,31362.7,0.83856,0.74622,2.23925,0.98092,0.97101,0.98262,0.87117,0.56161,0.40448,2.58164,0.000907848,0.000907848,0.000907848
48,32029.3,0.82353,0.73718,2.18985,0.99868,0.95652,0.9888,0.9004,0.52747,0.38779,2.58326,0.000891345,0.000891345,0.000891345
49,32695,0.82097,0.7298,2.20714,0.99814,0.94203,0.98217,0.86415,0.63076,0.44684,2.6231,0.000874842,0.000874842,0.000874842
50,33363.7,0.82844,0.73693,2.19585,0.9969,0.95652,0.98941,0.89321,0.52796,0.42785,2.51203,0.000858338,0.000858338,0.000858338
51,34029.5,0.81614,0.721,2.21206,0.9852,0.9649,0.98621,0.88414,0.51441,0.38996,2.58235,0.000841835,0.000841835,0.000841835
52,34694,0.79687,0.70841,2.1563,0.98498,0.94203,0.97203,0.87706,0.52453,0.38986,2.55027,0.000825332,0.000825332,0.000825332
53,35360,0.80663,0.71714,2.20959,0.99864,0.94203,0.96629,0.87009,0.56193,0.39675,2.5795,0.000808828,0.000808828,0.000808828
54,36028.3,0.79488,0.71472,2.19332,0.98459,0.92577,0.97396,0.89291,0.51268,0.42014,2.5829,0.000792325,0.000792325,0.000792325
55,36696.2,0.78421,0.69186,2.18096,0.99491,0.94203,0.98469,0.88228,0.5301,0.40538,2.49875,0.000775822,0.000775822,0.000775822
56,37360.7,0.78514,0.69318,2.18924,0.98529,0.97057,0.98268,0.86836,0.62633,0.40668,2.56,0.000759318,0.000759318,0.000759318
57,38025.1,0.7843,0.69786,2.17827,0.96913,0.95652,0.98229,0.89981,0.5341,0.38697,2.5255,0.000742815,0.000742815,0.000742815
58,38693.9,0.77927,0.69627,2.18997,1,0.96636,0.9939,0.89472,0.52409,0.39451,2.54837,0.000726312,0.000726312,0.000726312
59,39359,0.77437,0.68729,2.16202,0.9827,0.92754,0.96453,0.89612,0.52292,0.35049,2.57263,0.000709809,0.000709809,0.000709809
60,40024.5,0.77505,0.68432,2.16649,0.98506,0.9555,0.9723,0.88056,0.55099,0.3956,2.48728,0.000693305,0.000693305,0.000693305
61,40691,0.75844,0.66299,2.14435,0.95705,0.96894,0.97573,0.88895,0.51223,0.37236,2.5599,0.000676802,0.000676802,0.000676802
62,41356.1,0.75175,0.67131,2.13662,0.98463,0.94203,0.95987,0.87799,0.50717,0.38541,2.55909,0.000660299,0.000660299,0.000660299
63,42020.1,0.75588,0.66598,2.14368,0.96967,0.95652,0.96988,0.8928,0.49308,0.37019,2.4956,0.000643795,0.000643795,0.000643795
64,42685.3,0.74332,0.65249,2.15295,0.98477,0.93736,0.96478,0.87791,0.5258,0.38711,2.48264,0.000627292,0.000627292,0.000627292
65,43349.7,0.74825,0.66124,2.09678,0.98457,0.97101,0.9823,0.88399,0.50127,0.36879,2.53628,0.000610789,0.000610789,0.000610789
66,44017.1,0.74873,0.66299,2.13124,0.9836,0.94203,0.97654,0.91301,0.48352,0.36969,2.52315,0.000594286,0.000594286,0.000594286
67,44684,0.74307,0.64765,2.12535,0.98429,0.95652,0.97055,0.8756,0.50468,0.35666,2.49345,0.000577782,0.000577782,0.000577782
68,45348.6,0.74252,0.64493,2.11858,0.99946,0.97101,0.98346,0.89834,0.50649,0.36307,2.52624,0.000561279,0.000561279,0.000561279
69,46012.1,0.73834,0.64157,2.13035,0.98549,0.98458,0.99001,0.90827,0.45729,0.3614,2.50783,0.000544776,0.000544776,0.000544776
70,46678.1,0.75357,0.64717,2.13628,0.99902,0.97101,0.98297,0.88184,0.53131,0.37015,2.5106,0.000528272,0.000528272,0.000528272
71,47344.7,0.72783,0.63747,2.13827,0.98506,0.95555,0.9727,0.89113,0.5366,0.35325,2.53939,0.000511769,0.000511769,0.000511769
72,48007.7,0.73026,0.63358,2.10023,0.98526,0.96906,0.98348,0.88349,0.56064,0.37282,2.53495,0.000495266,0.000495266,0.000495266
73,48670,0.72694,0.63343,2.11453,0.98505,0.95472,0.97431,0.89411,0.47797,0.35304,2.4775,0.000478762,0.000478762,0.000478762
74,49335.7,0.72804,0.62992,2.10169,0.98418,0.95652,0.9818,0.90063,0.48409,0.35461,2.53201,0.000462259,0.000462259,0.000462259
75,50001.2,0.7297,0.62825,2.11541,0.97096,0.96905,0.98286,0.90295,0.52763,0.37743,2.53217,0.000445756,0.000445756,0.000445756
76,50665.2,0.7084,0.6223,2.08459,1,0.97031,0.98346,0.89685,0.49163,0.35803,2.49824,0.000429253,0.000429253,0.000429253
77,51327.5,0.70575,0.62361,2.06169,0.99889,0.95652,0.98343,0.89122,0.52945,0.36394,2.54903,0.000412749,0.000412749,0.000412749
78,51991.1,0.70343,0.61683,2.08767,0.99825,0.95652,0.98306,0.89161,0.5326,0.35795,2.5498,0.000396246,0.000396246,0.000396246
79,52657.7,0.7061,0.61199,2.10178,0.98431,0.92754,0.96369,0.8869,0.50284,0.36721,2.54898,0.000379743,0.000379743,0.000379743
80,53322.5,0.69429,0.60376,2.07739,0.9829,0.94203,0.96263,0.87442,0.52432,0.35879,2.52459,0.000363239,0.000363239,0.000363239
81,53986.5,0.70329,0.61079,2.09929,0.98527,0.96972,0.98337,0.89383,0.49734,0.33788,2.49315,0.000346736,0.000346736,0.000346736
82,54653.2,0.69167,0.59873,2.08223,0.98239,0.92754,0.9606,0.87936,0.51844,0.34385,2.51384,0.000330233,0.000330233,0.000330233
83,55322.1,0.69323,0.60796,2.06169,0.98483,0.94088,0.9706,0.90082,0.47826,0.32966,2.4979,0.000313729,0.000313729,0.000313729
84,55993.5,0.69,0.60323,2.09263,0.97056,0.95569,0.96918,0.88877,0.52912,0.34167,2.51005,0.000297226,0.000297226,0.000297226
85,56657,0.68483,0.59489,2.06948,0.9826,0.94203,0.97883,0.90142,0.50019,0.35047,2.532,0.000280723,0.000280723,0.000280723
86,57322.3,0.66975,0.582,2.07209,0.98309,0.94203,0.96481,0.89094,0.50344,0.33571,2.53336,0.00026422,0.00026422,0.00026422
87,57985.6,0.6672,0.58024,2.04567,0.99653,0.95652,0.98213,0.90031,0.52177,0.3457,2.51469,0.000247716,0.000247716,0.000247716
88,58652.2,0.672,0.58543,2.06928,0.9838,0.94203,0.97786,0.90621,0.50033,0.34196,2.52339,0.000231213,0.000231213,0.000231213
89,59319.9,0.66563,0.57651,2.03899,0.97647,0.94203,0.97372,0.89552,0.51725,0.34082,2.46994,0.00021471,0.00021471,0.00021471
90,59984.3,0.66552,0.58024,2.05484,0.98025,0.94203,0.97159,0.91258,0.49033,0.34083,2.48364,0.000198206,0.000198206,0.000198206
91,60641.7,0.45153,0.37594,2.01737,0.98436,0.97101,0.9809,0.8951,0.48796,0.33739,2.46088,0.000181703,0.000181703,0.000181703
92,61299.2,0.43233,0.34041,2.01213,0.98528,0.97001,0.98296,0.89861,0.49011,0.34719,2.4523,0.0001652,0.0001652,0.0001652
93,61954.7,0.4262,0.33211,1.91915,1,0.97081,0.98316,0.90643,0.47158,0.33611,2.46039,0.000148696,0.000148696,0.000148696
94,62664.8,0.41968,0.3313,1.98185,0.99855,0.95652,0.98327,0.90419,0.4672,0.3356,2.44796,0.000132193,0.000132193,0.000132193
95,63332.3,0.4092,0.32004,1.96647,1,0.97029,0.98401,0.91747,0.46224,0.33105,2.43788,0.00011569,0.00011569,0.00011569
96,63991.6,0.40788,0.32835,1.97147,0.99894,0.95652,0.98348,0.89725,0.47463,0.32613,2.42875,9.91865e-05,9.91865e-05,9.91865e-05
97,64647.8,0.40152,0.32007,1.95406,0.99895,0.95652,0.9832,0.90816,0.45279,0.32576,2.42887,8.26832e-05,8.26832e-05,8.26832e-05
98,65303.8,0.39907,0.31713,1.95814,0.99893,0.95652,0.98303,0.91319,0.4629,0.33709,2.41368,6.61799e-05,6.61799e-05,6.61799e-05
99,65958.5,0.39938,0.31668,1.93365,0.99895,0.95652,0.98327,0.90701,0.45686,0.32924,2.42133,4.96766e-05,4.96766e-05,4.96766e-05
100,66616.8,0.39001,0.31301,1.95338,0.99898,0.95652,0.98371,0.90518,0.45317,0.33281,2.42433,3.31733e-05,3.31733e-05,3.31733e-05
