epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,417.552,1.7227,2.33823,2.85449,0.47281,0.60772,0.54605,0.34717,1.15824,1.73807,2.60979,0.00332729,0.00332729,0.00332729
2,765.139,1.42644,1.47588,2.63696,0.65684,0.66278,0.71774,0.508,1.08251,1.35247,2.72381,0.00659469,0.00659469,0.00659469
3,1113.37,1.42125,1.41301,2.64405,0.6479,0.53713,0.62616,0.41589,1.14966,1.61427,2.63571,0.00979608,0.00979608,0.00979608
4,1485.73,1.41571,1.38731,2.66826,0.6214,0.73069,0.69262,0.4829,1.09319,1.40401,2.54521,0.009703,0.009703,0.009703
5,1827.48,1.36724,1.31788,2.63922,0.64237,0.717,0.7174,0.51284,1.06933,1.24354,2.52185,0.009604,0.009604,0.009604
6,2169.17,1.32644,1.26185,2.60186,0.61748,0.71973,0.71473,0.54712,0.90613,1.28847,2.46812,0.009505,0.009505,0.009505
7,2510.68,1.29665,1.20822,2.57645,0.66207,0.70111,0.72151,0.54777,0.9366,1.21281,2.46335,0.009406,0.009406,0.009406
8,2852.52,1.27452,1.15697,2.54798,0.69452,0.69904,0.75229,0.56761,0.96009,1.07998,2.42493,0.009307,0.009307,0.009307
9,3194.03,1.2462,1.14071,2.52877,0.68777,0.76087,0.77287,0.58703,0.9887,1.07435,2.46859,0.009208,0.009208,0.009208
10,3536,1.23087,1.11218,2.50941,0.73662,0.69911,0.77897,0.60845,0.86985,0.99019,2.43517,0.009109,0.009109,0.009109
11,3877.94,1.2128,1.06679,2.48752,0.73409,0.71034,0.77782,0.60334,0.91126,1.02031,2.33506,0.00901,0.00901,0.00901
12,4219.93,1.20136,1.0674,2.48242,0.67789,0.70625,0.74377,0.57858,0.88526,1.12912,2.40692,0.008911,0.008911,0.008911
13,4561.53,1.1872,1.04407,2.46621,0.67801,0.74601,0.74552,0.59844,0.8444,1.12809,2.40876,0.008812,0.008812,0.008812
14,4903.33,1.17232,1.02047,2.42165,0.70063,0.78105,0.80225,0.62391,0.8761,0.99374,2.39498,0.008713,0.008713,0.008713
15,5245.04,1.1661,1.007,2.42154,0.74744,0.77678,0.79042,0.62707,0.83455,1.03433,2.38173,0.008614,0.008614,0.008614
16,5586.63,1.151,0.98358,2.40992,0.73617,0.77157,0.80561,0.64033,0.86971,0.98883,2.39505,0.008515,0.008515,0.008515
17,5928.51,1.14668,0.97226,2.39582,0.65812,0.76839,0.75313,0.60844,0.80642,1.05237,2.40281,0.008416,0.008416,0.008416
18,6270.63,1.12662,0.95848,2.38261,0.72982,0.73549,0.77153,0.62419,0.83704,1.02672,2.32692,0.008317,0.008317,0.008317
19,6612.44,1.12263,0.95137,2.38851,0.71763,0.73869,0.7608,0.60692,0.84389,1.06919,2.29875,0.008218,0.008218,0.008218
20,6954.66,1.11576,0.9408,2.37404,0.72241,0.77674,0.77065,0.62772,0.7639,0.99082,2.3155,0.008119,0.008119,0.008119
21,7296.53,1.10403,0.92742,2.35234,0.76363,0.72696,0.79638,0.64668,0.81525,1.02213,2.23095,0.00802,0.00802,0.00802
22,7638.69,1.10408,0.92056,2.35374,0.7041,0.72719,0.76656,0.62199,0.80293,1.03895,2.27685,0.007921,0.007921,0.007921
23,7981.17,1.09462,0.91482,2.34025,0.73377,0.77925,0.80599,0.66159,0.77885,0.95393,2.27475,0.007822,0.007822,0.007822
24,8323.08,1.07934,0.90031,2.32446,0.71117,0.77828,0.75427,0.61199,0.79474,1.03498,2.19887,0.007723,0.007723,0.007723
25,8665.4,1.07694,0.90156,2.33094,0.74344,0.75603,0.77952,0.63212,0.78987,0.95225,2.18512,0.007624,0.007624,0.007624
26,9007.38,1.06115,0.88177,2.30033,0.7298,0.78563,0.81715,0.67329,0.75368,0.91812,2.22388,0.007525,0.007525,0.007525
27,9349.74,1.06007,0.87504,2.30743,0.68032,0.78196,0.73716,0.61739,0.75713,1.08094,2.27103,0.007426,0.007426,0.007426
28,9692.22,1.05324,0.86797,2.29994,0.70887,0.7767,0.80286,0.65456,0.80158,0.95359,2.22199,0.007327,0.007327,0.007327
29,10034.5,1.04848,0.86522,2.3001,0.74234,0.81686,0.81137,0.67103,0.74756,0.89087,2.19867,0.007228,0.007228,0.007228
30,10377.2,1.04581,0.85547,2.28463,0.7021,0.81931,0.78072,0.63276,0.75207,0.96049,2.22788,0.007129,0.007129,0.007129
31,10719.7,1.03892,0.84657,2.27351,0.66641,0.80391,0.77152,0.64558,0.75637,1.03274,2.16061,0.00703,0.00703,0.00703
32,11061.8,1.03381,0.85272,2.26806,0.76419,0.78234,0.8153,0.6812,0.7381,0.94174,2.2584,0.006931,0.006931,0.006931
33,11404.9,1.02647,0.83097,2.25368,0.77914,0.7892,0.8109,0.67512,0.76383,0.96721,2.18927,0.006832,0.006832,0.006832
34,11747.9,1.0157,0.82166,2.23333,0.68454,0.8235,0.82276,0.67497,0.76431,0.88544,2.23228,0.006733,0.006733,0.006733
35,12090.9,1.01542,0.82069,2.23651,0.80356,0.74014,0.80957,0.66852,0.75313,0.9719,2.20674,0.006634,0.006634,0.006634
36,12433.3,1.00673,0.81366,2.23999,0.71752,0.74985,0.77174,0.64518,0.73022,1.00494,2.23782,0.006535,0.006535,0.006535
37,12776,0.99531,0.80159,2.21867,0.72327,0.81197,0.78777,0.66307,0.71802,0.95101,2.18805,0.006436,0.006436,0.006436
38,13118.7,0.99197,0.80695,2.20211,0.76137,0.77147,0.80907,0.68315,0.72543,0.92497,2.19471,0.006337,0.006337,0.006337
39,13461.3,0.98891,0.79782,2.2,0.74821,0.76395,0.80736,0.68035,0.71808,0.95407,2.18857,0.006238,0.006238,0.006238
40,13804.1,0.98904,0.79182,2.19462,0.7865,0.75243,0.8045,0.67686,0.73071,0.98634,2.14803,0.006139,0.006139,0.006139
41,14146.9,0.97891,0.77937,2.18756,0.74769,0.78105,0.79629,0.67649,0.71958,0.93931,2.16077,0.00604,0.00604,0.00604
42,14489.5,0.97266,0.78266,2.18942,0.7622,0.792,0.78101,0.65685,0.72707,0.94244,2.1658,0.005941,0.005941,0.005941
43,14832,0.9715,0.77461,2.18254,0.71812,0.8053,0.80423,0.67715,0.71547,0.88544,2.13581,0.005842,0.005842,0.005842
44,15174.7,0.96712,0.77317,2.18445,0.7443,0.82338,0.82859,0.70192,0.70125,0.85894,2.12085,0.005743,0.005743,0.005743
45,15517.5,0.9614,0.76176,2.17095,0.7157,0.85068,0.8099,0.68634,0.71246,0.90288,2.12203,0.005644,0.005644,0.005644
46,15860.5,0.95765,0.76241,2.16743,0.73573,0.83369,0.80824,0.68685,0.69114,0.89124,2.13408,0.005545,0.005545,0.005545
47,16203.3,0.9542,0.75281,2.16714,0.75696,0.79152,0.81785,0.69841,0.71093,0.92292,2.1478,0.005446,0.005446,0.005446
48,16546.7,0.94296,0.74793,2.1584,0.75565,0.85509,0.83033,0.70849,0.68876,0.83176,2.10225,0.005347,0.005347,0.005347
49,16890.1,0.93892,0.74648,2.14159,0.70754,0.84817,0.803,0.68627,0.69811,0.89622,2.09436,0.005248,0.005248,0.005248
50,17233.3,0.93738,0.74443,2.14598,0.75581,0.81598,0.80784,0.68979,0.69684,0.88955,2.12382,0.005149,0.005149,0.005149
51,17576.5,0.92671,0.74051,2.12576,0.75943,0.78001,0.79294,0.6796,0.67932,0.90869,2.12953,0.00505,0.00505,0.00505
52,17920.2,0.92832,0.72885,2.1465,0.75314,0.77027,0.79327,0.6787,0.70208,0.95781,2.10605,0.004951,0.004951,0.004951
53,18264.3,0.91895,0.72754,2.12791,0.77139,0.78472,0.80872,0.69626,0.68827,0.90128,2.11923,0.004852,0.004852,0.004852
54,18609,0.91939,0.73028,2.12199,0.74569,0.8028,0.7943,0.68924,0.67043,0.94552,2.10188,0.004753,0.004753,0.004753
55,18952.5,0.9095,0.72123,2.11754,0.76961,0.80074,0.80849,0.69042,0.68786,0.91668,2.123,0.004654,0.004654,0.004654
56,19296.1,0.90176,0.72075,2.10362,0.7545,0.79614,0.80246,0.69107,0.68244,0.92189,2.12083,0.004555,0.004555,0.004555
57,19640.2,0.89893,0.70515,2.10554,0.75536,0.80082,0.80751,0.69049,0.68164,0.90993,2.09552,0.004456,0.004456,0.004456
